symbol,time_bin,polarity,polarity_3d,polarity_5d
AAPL,2023-05-23,0.5,0.6202944033738447,0.5618561166478617
AAPL,2023-05-24,-0.2,0.21014720168692233,0.3079040777652412
AAPL,2023-05-25,0.3333333333333333,0.2717402675101278,0.3163804962879386
AAPL,2023-05-26,-0.3333333333333333,-0.030796532911602753,0.09980921974751464
AAPL,2023-05-27,0.0,-0.015398266455801377,0.06653947983167643
AAPL,2023-05-28,1.0,0.49230086677209933,0.37769298655445094
AAPL,2023-05-29,0.0,0.24615043338604967,0.251795324369634
AAPL,2023-05-30,1.0,0.6230752166930248,0.5011968829130893
AAPL,2023-05-31,1.0,0.8115376083465125,0.6674645886087263
AAPL,2023-06-02,0.0,0.4057688041732562,0.44497639240581754
AAPL,2023-06-03,1.0,0.7028844020866281,0.6299842616038783
AAPL,2023-06-04,1.0,0.851442201043314,0.7533228410692523
AAPL,2023-06-05,0.4117647058823529,0.6316034534628334,0.6394701293402859
AAPL,2023-06-06,0.8181818181818182,0.7248926358223258,0.6990406922874633
AAPL,2023-06-07,0.5714285714285714,0.6481606036254486,0.6565033186678327
AAPL,2023-06-08,0.3333333333333333,0.4907469684793909,0.5487799902229996
AAPL,2023-06-09,1.0,0.7453734842396955,0.6991866601486665
AAPL,2023-06-10,0.0,0.37268674211984776,0.466124440099111
AAPL,2023-06-11,-0.3333333333333333,0.01967670439325722,0.19963851562162963
AAPL,2023-06-12,1.0,0.5098383521966287,0.4664256770810864
AAPL,2023-06-13,1.0,0.7549191760983143,0.6442837847207242
AAPL,2023-06-14,0.14285714285714285,0.44888815947772853,0.4771415707661972
AAPL,2023-06-15,0.5,0.47444407973886427,0.4847610471774648
AAPL,2023-06-16,1.0,0.7372220398694321,0.6565073647849765
AAPL,2023-06-17,1.0,0.8686110199347161,0.771004909856651
AAPL,2023-06-18,1.0,0.9343055099673581,0.8473366065711008
AAPL,2023-06-19,0.0,0.46715275498367903,0.5648910710474006
AAPL,2023-06-20,0.0,0.23357637749183952,0.37659404736493374
AAPL,2023-06-21,0.3333333333333333,0.2834548554125864,0.3621738093544003
AAPL,2023-06-22,1.0,0.6417274277062932,0.5747825395696002
AAPL,2023-06-23,0.75,0.6958637138531466,0.6331883597130669
AAPL,2023-06-24,0.3333333333333333,0.51459852359324,0.5332366842531557
AAPL,2023-06-25,0.0,0.25729926179662,0.3554911228354372
AAPL,2023-06-26,0.3333333333333333,0.2953162975649767,0.3481051930014026
AAPL,2023-06-27,0.5,0.39765814878248834,0.3987367953342684
AAPL,2023-06-28,0.42857142857142855,0.41311478867695844,0.4086816730799885
AAPL,2023-06-29,-0.2,0.10655739433847922,0.20578778205332568
